Assets,number_of_files,all_files,concat
adunit-zee-punjabi-antakshari-in-mob,18,"['endtext.png', 'game_2.png', 'cta.png', 'bg2.png', 'gametext_2.png', 'game_3.png', 'game_4.png', 'engagement_animation.png', 'endframe_3.png', 'engagement_instruction.png', 'game_6.png', 'game_1.png', 'game_5.png', 'landing_2.png', 'endframe_2.png', 'landing_1.png', 'gametext_1.png', 'endframe_1.png']",endtext.png game_2.png cta.png bg2.png gametext_2.png game_3.png game_4.png engagement_animation.png endframe_3.png engagement_instruction.png game_6.png game_1.png game_5.png landing_2.png endframe_2.png landing_1.png gametext_1.png endframe_1.png
3a9208f5502fa4ad01ddf92a77a0e8a3,19,"['logo.png', 'landing_3.png', 'characters.png', 'cta.png', 'magic-1.png', 'engagement_animation.png', 'background.jpg', 'end-background.jpg', '_preview.png', 'magic-2.png', 'end_text.png', 'engagement_instruction.png', 'landing_5.png', 'landing_2.png', 'landing_4.png', '7.jpg', 'landing_6.png', 'landing_1.png', 'endframe.png']",logo.png landing_3.png characters.png cta.png magic-1.png engagement_animation.png background.jpg end-background.jpg _preview.png magic-2.png end_text.png engagement_instruction.png landing_5.png landing_2.png landing_4.png 7.jpg landing_6.png landing_1.png endframe.png
03c532904ec03423c5e30463a62401a5,15,"['landing_10.png', 'landing_3.png', 'landing_9.png', 'f1-bg.png', 'mpu-clickthrough.png', '_preview.png', 'cta.jpg', 'landing_8.png', 'landing_7.png', 'landing_5.png', 'endcard.png', 'landing_2.png', 'landing_4.png', 'landing_6.png', 'landing_1.png']",landing_10.png landing_3.png landing_9.png f1-bg.png mpu-clickthrough.png _preview.png cta.jpg landing_8.png landing_7.png landing_5.png endcard.png landing_2.png landing_4.png landing_6.png landing_1.png
adunit-engagementplus-ihop-mpu,24,"['logo.png', 'fr-1-bg.jpg', 'rev2-fr-1-bg.jpg', 'cta.png', 'end-bg.jpg', 'rev3-end-cta.png', 'rev2-end-cta.png', 'l.png', 'border.png', 'rev-fr-1-bg.jpg', 'engage.png', 'rev3-fr-1-cta.png', '_preview.png', 'endtext_1.png', 'steakhousebacon-new-move-rev.png', 'f3-cta.png', 'rev2-fr-1-cta.png', 'rev-fr-1-bg.png', 'f3-copy.png', 'border-rev-2.png', 't.png', 'landing_1.png', 'endframe_1.png', 'fr-1-cta.png']",logo.png fr-1-bg.jpg rev2-fr-1-bg.jpg cta.png end-bg.jpg rev3-end-cta.png rev2-end-cta.png l.png border.png rev-fr-1-bg.jpg engage.png rev3-fr-1-cta.png _preview.png endtext_1.png steakhousebacon-new-move-rev.png f3-cta.png rev2-fr-1-cta.png rev-fr-1-bg.png f3-copy.png border-rev-2.png t.png landing_1.png endframe_1.png fr-1-cta.png
eb641577b39bf60665e3130ac0d4e301,28,"['tt1_en2.png', 'tt3.png', 'landing_3.png', 'ripple.png', 'cta.png', 'endframe2.png', 'end_tt2.png', 'circle.png', 'landingtext_2.png', 'engagement_animation.png', 'tt1.png', 'tt2.png', 'grow.png', '_preview.png', 'endtext_1.png', 'engagement_instruction.png', 'landing_5.png', 'cta_ch.png', 'endframe_ch.png', 'end_tt2_en.png', 'endtext_2.png', 'landing_2.png', 'landing_4.png', 'landingtext_1.png', 'end_tt1.png', 'landing_1.png', 'endframe.png', 'end_tt2_en2.png']",tt1_en2.png tt3.png landing_3.png ripple.png cta.png endframe2.png end_tt2.png circle.png landingtext_2.png engagement_animation.png tt1.png tt2.png grow.png _preview.png endtext_1.png engagement_instruction.png landing_5.png cta_ch.png endframe_ch.png end_tt2_en.png endtext_2.png landing_2.png landing_4.png landingtext_1.png end_tt1.png landing_1.png endframe.png end_tt2_en2.png
adunit-yamaha-rmax4-1000-le-sensory-plus-video-mob,2,"['video.mp4', 'endcard.png']",video.mp4 endcard.png
adunit-chevy-user-slider-seat-interior-v1-cpe-mpu,14,"['logo.png', 'cta_2.png', 'exteriorlegal2.png', 'engagement_animation.png', 'cta_3.png', 'engagement_instruction.png', 'interiorlegal2.png', 'cta_1.png', 'cta_4.png', 'landing_2.png', 'endframe_2.png', 'exteriorlegal.png', 'landing_1.png', 'endframe_1.png']",logo.png cta_2.png exteriorlegal2.png engagement_animation.png cta_3.png engagement_instruction.png interiorlegal2.png cta_1.png cta_4.png landing_2.png endframe_2.png exteriorlegal.png landing_1.png endframe_1.png
adunit-lionsgate-spiral-puzzle-mpu,22,"['endtext.png', 'logo.png', 'd.jpg', 'video-border-top.png', 'grid.png', 'full-img.jpg', 'cta.png', 'mpu-video.mp4', 'c.jpg', 'i.jpg', 'engagement_instruction.png', 'endframe.jpg', 'b.jpg', 'puzzle-border.png', 'landing.png', 'f.jpg', 'video-border-bottom.png', 'g.jpg', 'e.jpg', 'bg.jpg', 'h.jpg', 'a.jpg']",endtext.png logo.png d.jpg video-border-top.png grid.png full-img.jpg cta.png mpu-video.mp4 c.jpg i.jpg engagement_instruction.png endframe.jpg b.jpg puzzle-border.png landing.png f.jpg video-border-bottom.png g.jpg e.jpg bg.jpg h.jpg a.jpg
ae98b1f2a6ca87429bb43d29df7c682a,15,"['video.mp4', 'fs-click-endframe.png', 'endcard-rev.png', 'cta.png', 'border.png', 'video-copy-rev.png', 'video-cta-rev.png', 'landing.jpg', '_preview.png', 'game.jpg', 'gametext.png', 'engagement_animation_1.png', 'endframe.jpg', 'engagement_animation_2.png', 'mpu-click.png']",video.mp4 fs-click-endframe.png endcard-rev.png cta.png border.png video-copy-rev.png video-cta-rev.png landing.jpg _preview.png game.jpg gametext.png engagement_animation_1.png endframe.jpg engagement_animation_2.png mpu-click.png
adunit-lexus-video-carousel-mpu,12,"['logo.png', 'vid-reference.png', 'mpu-vid.mp4', 'game_engagement.png', 'engagement_animation.png', 'mpu-border.png', 'engagement_instruction.png', 'advertised_item_1.png', 'advertised_item_3.png', 'landing.png', 'endframe.png', 'advertised_item_2.png']",logo.png vid-reference.png mpu-vid.mp4 game_engagement.png engagement_animation.png mpu-border.png engagement_instruction.png advertised_item_1.png advertised_item_3.png landing.png endframe.png advertised_item_2.png
