Assets,located_image,base_image,top_left_X,top_left_Y,bottom_right_X,top_right_Y,height,width,total_image_height,total_image_width
hills-bio-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-yamaha-x2-sensory-plus-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
c823124ca76c00a9d3b79380e5bdfd29,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-simple-feast-build-for-industry-survey-q4-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-v3-cpe-av-us-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-western-union-bio-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-gm-ces-user-choice-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-cartier-panthere-2021-fy22-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-cpe-us-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lionsgate-spiral-new-2-puzzle-v3-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-heineken-sa-celebrations-bio-v1-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3a462469eef8972bc33e93d3b9402fda,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3983cfed2def8feebc57bb6638cf49c8,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lionsgate-moonfall-parallax-cta4-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
44c8e52abc427a52c487122232409f5d,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-chevy-user-slider-seat-interior-cpe-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
c9790ca6d49dfc3f245db91d3b62c56d,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-chevy-user-slider-seat-interior-cpe-av-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
9e3c7a3de86bb8857dd3f822bc951a59,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
ff72b5f704ef2a8fa05e5a7b350a1e8e,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
27b8aecd5c4b58ddcfc56270e9944d81,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-facebook-conversational-commerce-3-0-th-bio2-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-j&j-listerine-tonic3-exxon-fs,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-samsung-r9-launch-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
7b5d17800096a3e27a5732fd7322fc37,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
d250af845914563dc5e28699c19da043,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
e17b6db0e4fb777ab569ef0a81b5000e,logo.png,_preview.png,0,0,600,900,900,600,900,600
adunit-yamaha-x2-x4-userchoice-cpe-av-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-ihop-ihoppy-hour-no-offer-mob,logo.jpg,_preview.png,0,0,600,900,900,600,900,600
cd586b24025b1349b9b79d2c944e3f18,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
d706afba427123c30ffafb88d5486e03,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3c5daf79e8097eae0956840826c90fcc,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
427bf316b866d8b20a30866426c66e09,logo.png,_preview.png,280,6,599,289,283,319,500,600
adunit-simple-feast-build-for-industry-survey-q1-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-facebook-conversational-commerce-3-0-vn-unit1-v2-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-hitmans-wifes-body-guard-user-choice-unit1-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
09d86d1539357a20fd04a53d000e8471,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
e5c648e39c7860bf0e70f4b02ecafbdf,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-v3-canada-cpe-av-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-chanel-j12-tw-black-en-2022-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
5c58461a764afd15c527c9c8b3a054b2,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
44799b510c8a525e9baaa4729e200efa,logo.png,_preview.png,231,586,370,856,270,139,900,600
adunit-facebook-conversational-commerce-3-0-th-unit2-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lionsgate-uwomt-user-slider-sensory-video-final-tune2-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
b68a3a78534ac964f4eddfb8d767bbe0,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
8bf41e73b0b48e4bc86fba470d3af1a8,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
caf88bb6688890e82c30fb408ec4e76f,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-hitmans-wifes-body-guard-user-choice-unit2-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3a63ee9cd0c128a7e97a7620a82b3678,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
d93555b29bb180a19395c58cb97a5065,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lionsgate-moonfall-parallax-cta3-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-scotch-brite-scrub-dots-sponge-tap-thai-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
9b2e41fdabcefdda0a86803e415a8c98,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-v3-uk-cpe-av-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lionsgate-uwomt-bio-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-yamaha-wolverine-user-choice-cpe-v2-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
f50ff5f8d3f50ecaccadf63345ec16bc,f5-logo.png,_preview.png,135,42,466,85,43,331,900,600
adunit-hitmans-wifes-body-guard-user-choice-unit1-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-nestle-maggi-varieties-bouillon-ar-ksa-v1-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
f52568446cd557df708c44efb668789c,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
471b3c709ca35b4765c096beb835bcc3,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-jaguar-nameplate-refresh-v2-mfcc-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-cpe-av-aus-nz-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-v2-cpe-aus-nz-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
9e45326648ea56b095dfe34466ce6018,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
73501a5fc5b60fea475b301aae4a3731,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
86782260310be394dce33ef91955a716,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-ggpoker-spin-and-gold-sensory-v1-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
ba9ca629a79e79a0b652b5b275ecd5e1,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
f7f9e79ae3506b8c75810cae2ce276e7,logo.png,_preview.png,84,307,260,380,73,176,500,600
034c0fa142311896c1b1b6900487d2fb,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-ihop-windows3-2021-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
e437bb1946e346784d613ce6feba7203,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-yamaha-x2-x4-userchoice-cpe-av-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3f8bf51e4f82aeecc825c4b2a12d92a7,logo.png,_preview.png,180,25,421,68,43,241,500,600
8968a702d64524827de2ccf55c802d6c,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
64beae61d488503fcd271af0ff3ea46a,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lionsgate-moonfall-parallax-cta1-phase-spanish-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-yamaha-rmax-1000-sensory-plus-video-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lionsgate-spiral-puzzle-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
c741653e8c326e65480df0732efe96df,logo.png,_preview.png,46,40,134,76,36,88,900,600
adunit-showtime-first-lady-sensory-plus-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-heineken-pure-malt-v2-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
dba3929fad20b7650861f74a9414c043,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
9e068e03269af51054a95146bdaf3d45,logo.png,_preview.png,203,30,398,165,135,195,500,600
097b04b65ad1608a869f2fb08909a612,logo.png,_preview.png,139,137,277,254,117,138,900,600
6c200017bb5cb921e59f6a6c09491ad5,logo.png,_preview.png,0,0,358,113,113,358,500,600
9751f5044f0e9ef8e21661bf28c3d88f,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-flight4-aus-nz-cpe-av-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-chanel-j12-tw-white-en-2022-v1-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lionsgate-moonfall-parallax-cta3-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
9b9f6e8145aad25f6548fb35775d7fb3,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3dbee69360ec8c331edd1ac47c4da0ec,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-ihop-ihoppy-hour-save-dollar-5-mpu,logo.png,_preview.png,243,26,356,87,61,113,500,600
da2b42ad2deaf5a4f7f3604e0e5038e1,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
fae4bab75ff19f1246fb814deb4efd94,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
cb1ae642e1bdcec602d24344d5d927b5,logo.png,_preview.png,235,35,366,112,77,131,500,600
6e526502767454c66cc93a391846bebd,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-heineken-pure-malt-bio,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-v3-canada-cpe-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-hennessy-vsop-refik-anadol,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-dtc-soccer-swipe-to-catch-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-ntuc-fair-price-christmas-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
06c1d5086fb91fd2e62f4c5e29e2759c,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
de22272cbb7ebe2622fa3b847330ccc6,logo.jpg,_preview.png,0,0,600,200,200,600,500,600
4df8be2d1f001c08abee098975068323,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lexus-icertified-sensory-video-google-maps-cta-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
91aa41c408ad4ff2e688c58c5ffe4e93,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
9931c8470e7412c45c890f4f7c59c1f4,logo.png,_preview.png,92,221,496,285,64,404,500,600
adunit-lionsgate-uwomt-user-slider-sensory-video-final-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-facebook-conversational-commerce-3-0-vn-bio1-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
243e1d1c834bb95798ff4e1db49950a3,logo.png,_preview.png,99,29,504,119,90,405,500,600
6a9230f97e1bf95266390f0f94c774dd,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
42b246e4d3bf68de81ab0262a2f05691,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-flight4-aus-nz-cpe-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
2407dd6a760fb8ea2054a251cdb5b907,logo.png,_preview.png,40,79,500,185,106,460,900,600
