Assets,located_image,base_image,top_left_X,top_left_Y,bottom_right_X,top_right_Y,height,width,total_image_height,total_image_width
b58595e2670fde268a1c6dc7b9fc8ba3,engagement_instruction.png,_preview.png,238,828,521,892,64,283,900,600
79e5acae0b9e9789b90f0b362f449eb1,engagement_instruction.png,_preview.png,0,0,600,500,500,600,500,600
adunit-yamaha-wolverine-user-choice-av-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
9f157ba406572210d000f1478e8e656c,engagement_instruction.png,_preview.png,188,407,357,498,91,169,500,600
adunit-simple-feast-build-for-industry-survey-q5-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
6280249e98882910535061f21ae36875,engagement_instruction.png,_preview.png,0,200,229,394,194,229,500,600
adunit-therezopolis-beer-chegou-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-scotch-brite-gamification-thai-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lionsgate-uwomt-user-slider-sensory-video-final-tune4-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
c8a1bbadb8931aee1d1438ae9962814e,engagement_aniamtion.png,_preview.png,0,0,600,900,900,600,900,600
be6513d80192c25426e5e8f24e6e4dea,engagement_instruction.png,_preview.png,60,185,526,262,77,466,900,600
adunit-ihop-ihoppy-hour-20-percent-off-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
82c919a29087bad5dbedb9b64247e6d6,engagement_instruction.png,_preview.png,7,668,508,786,118,501,900,600
4799763419d621cd41e7fb8abbcdd45d,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
73bfd5e041e99938ca1ef8b1e2355e02,engagement_instruction.png,_preview.png,41,757,562,855,98,521,900,600
3e9add27f21781f8a3c227f5b9a1da31,engagement_instruction.png,_preview.png,173,611,438,666,55,265,900,600
045a67d8bbba2805d2e421bc5b83d775,engagement_instruction_1.png,_preview.png,183,26,575,39,13,392,500,600
adunit-ihop-ihoppy-hour-no-offer-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
596052151e9fd6031a05ed88473b7445,engagement_instruction.png,_preview.png,60,185,526,262,77,466,900,600
